879,M,45,16,92018
4559,M,25,7,05346
4878,M,50,4,94070
592,M,18,0,92103
4565,M,35,14,94085
1331,M,45,0,12065
2962,M,35,3,94109
2996,M,18,0,63011
4861,M,25,4,04309
5508,M,25,20,94519
3319,F,56,13,92308
1845,M,25,2,10002
3219,F,18,4,54302
1945,M,25,20,92866
2262,M,45,17,48116
3490,M,25,0,74136
3597,M,25,17,55446
3745,F,25,9,49442
5695,F,35,3,21221
4642,M,25,0,44691
2267,F,56,13,37774
4688,M,25,9,44310
5452,M,35,6,10011
5984,M,25,1,60657
3279,M,45,15,92880
3255,F,25,15,91902
1281,M,25,19,97209
3021,F,45,15,78750
5820,M,45,0,43615
4428,M,25,14,46940
4871,M,18,12,04096
3178,F,35,5,44313
715,M,18,0,53715
5139,M,50,16,12866
826,F,35,1,80210
3053,F,25,3,55102
815,M,25,4,37130
634,F,1,10,49512
631,M,35,17,28601
2200,M,35,1,60016
80,M,56,1,49327
918,F,45,1,91901
3415,M,35,7,80129
3229,F,56,1,93105
5154,M,25,16,20007
3365,M,50,17,23059
4987,F,56,8,90210
367,M,50,12,55421
4944,M,50,17,14568
3220,M,35,7,54016
1049,M,45,14,95002
2770,M,35,1,14260
529,M,35,12,92009
323,M,45,12,53716
4015,F,45,3,75605
1876,M,25,12,92024
4193,M,56,13,93907
4254,M,25,17,38654
4125,M,35,2,13676
2915,M,25,7,23423
945,M,45,7,49345
3765,F,50,3,34744
2621,M,18,0,46304
1851,M,25,19,59602
3105,M,35,12,98166
2496,M,50,1,37932
194,F,1,10,29146
4882,M,45,11,03301
55,F,35,12,55303
4906,M,50,17,49506
5335,M,25,14,75093
3030,M,35,1,48103
4998,F,18,4,48433
5015,M,35,6,92672
1227,M,50,1,90027
5292,M,25,0,97401
4725,M,35,5,96707-1321
485,M,56,7,55042
1823,F,35,1,92801
535,M,35,6,95370
6032,M,45,7,55108
1112,M,18,6,19104
689,F,50,0,48103
3817,M,35,3,20122
513,M,25,0,55119
3297,M,18,4,91325
5889,M,50,20,06033
5483,F,25,6,15202
3916,M,25,4,02134
2684,F,18,0,19143
2414,M,25,1,49503
2978,M,35,20,45236
5986,F,56,1,01060
5307,M,25,5,85281
1389,M,25,17,19801
2850,M,18,20,94608
831,F,45,0,20874
4088,M,25,3,77057
4377,M,25,0,32444
3009,F,35,3,55112
1889,M,18,14,80023
5083,M,25,4,16803
5712,M,35,1,90024
1016,M,56,16,60044
5365,M,18,12,90250
4875,M,35,0,97403
5586,M,35,20,94107
481,M,45,7,55115
4592,M,18,4,66044
2370,M,50,1,13215
5569,F,18,1,07666
5433,F,35,17,45014
934,F,35,7,97401
3268,M,25,12,04106
5792,M,25,17,43201
17,M,50,1,95350
1828,M,18,4,07030
5234,F,25,0,60657
560,M,45,15,81335
2906,M,35,19,55421
5226,M,35,0,98122
4750,F,25,0,91107
3364,M,56,13,17033
2957,M,18,4,48104
2143,M,18,4,32607
1308,M,1,10,75082
5734,F,25,14,10022
1070,F,45,2,20036
3380,M,50,0,20815
3919,M,45,0,73702
5808,F,25,7,37206
3589,F,45,0,80010
3292,F,50,6,79410
4989,M,25,0,55121
4147,F,50,7,02889
1254,F,18,1,02144
3081,M,25,7,77252
66,M,25,18,57706
4169,M,50,0,66048
1771,M,25,17,75044
3419,M,45,1,16801
3027,M,18,4,85719
1609,F,35,9,06830
3931,M,25,5,92117
3896,M,35,0,60914
4464,F,50,1,62052
663,F,25,7,12345
1737,M,35,20,46614
225,M,25,7,11215
242,F,18,4,53706
1108,M,56,1,93003
586,M,35,14,53092
3491,M,25,16,28542
4347,F,18,20,77304
5785,F,25,7,60607
1850,M,18,5,12582
4286,M,35,17,11554
2849,M,45,11,94114
4873,M,56,11,13760
5086,M,25,1,23462
1872,M,50,20,92106
5822,F,35,4,78212
4091,M,25,17,55410
1822,F,25,0,53713
1915,M,50,13,01938
4450,M,25,15,60611
1520,M,25,17,94506
5112,M,35,13,89128
510,M,18,12,55109
111,M,35,15,55416
5956,F,18,4,02142
1723,M,35,17,60103
5568,M,18,4,49841
4913,F,25,1,970025
3119,M,45,1,37027
3575,M,25,18,54915
3947,M,25,0,90019
5749,M,25,2,94117
2698,F,25,2,10028
3806,M,18,4,55104
4779,M,45,3,04011
3327,M,18,12,91423
4558,M,35,14,48217
4536,M,18,12,53715
2403,M,18,4,37743
4392,M,18,4,43402
5726,M,25,1,77845
3794,F,18,4,53211
390,M,25,4,55405
5255,M,1,10,55305
5854,M,45,7,33135
4094,M,25,17,49017
2467,M,1,10,44224
2901,M,25,17,78749
256,M,45,16,55076
4068,M,56,3,89185
2737,M,25,3,50311
5991,F,35,20,94025
4387,F,18,4,63109
2623,M,56,1,30345
5727,M,25,4,92843
598,M,35,7,95476
2471,M,50,13,98683
514,M,25,2,55113
5250,M,50,6,01545
558,M,35,20,55108
3576,M,50,7,68046
3473,F,35,16,02472
1818,M,1,8,02254
2687,M,1,10,08805
610,M,25,4,77025
4097,M,25,7,63366
2456,M,25,5,48103
3935,M,35,18,72118
1720,M,18,4,94720
446,F,50,0,55042
3963,M,50,20,30030
4525,M,25,14,10021
3742,M,25,0,90266
3921,M,25,14,95820
5114,F,1,10,22932
3934,M,25,0,44512
3347,F,35,7,91362
4869,F,45,6,04578
1627,M,18,17,91505
5220,M,25,7,91436
665,M,18,2,13317
2988,F,18,6,92122
3594,M,1,0,02322
3149,M,18,4,92602
2419,M,25,0,06096
2739,F,35,7,92316
4780,M,25,12,94114
1341,M,18,7,11434
4032,M,25,12,56301
2358,F,56,6,06074
2682,M,18,4,43210
281,F,35,0,94117
4967,M,18,4,94708
2635,M,35,0,06403
2070,F,35,6,13210
1731,F,18,0,91601
1436,F,50,6,97005
3232,M,35,12,92821
3382,F,1,10,55305
2375,F,50,7,13027
148,M,50,17,57747
2639,F,25,6,80236
2345,M,35,16,98031
2275,M,56,7,39211
1054,M,1,10,75040
3902,M,25,5,46239
4669,M,35,7,19004
4153,M,50,17,16801
2474,M,25,12,83815
1616,M,25,0,16101
4084,M,56,13,14215
1854,M,25,0,92346
3901,M,18,14,85282
3182,M,25,12,12866
222,M,25,1,55116
525,M,35,6,19027
5186,M,35,12,96555
2089,M,35,17,17601
2352,M,50,13,41076
2140,M,45,14,46804
4195,F,56,13,95050
4990,F,25,4,55407
3006,M,18,4,45750
2443,F,35,0,49464
2651,M,56,14,11779
5069,F,56,0,95062
