3374,673
5953,3082
1812,2044
1908,292
5787,2804
2173,2917
544,1204
4783,50
1724,207
3746,223
5795,786
649,356
6037,1407
3371,3260
392,2795
4169,3896
3373,3753
317,2804
5636,745
1632,3362
300,2020
1367,3703
1163,3535
5074,1554
1896,3419
4170,3198
5278,1375
1465,2750
4979,2454
1605,590
3607,2248
2567,252
4020,1198
1002,1729
4412,2712
3808,1544
1440,161
4160,1301
1128,541
2085,1884
5476,3654
5464,1387
1706,1281
5797,165
1561,3095
4447,2010
4824,3686
1447,435
4541,3827
4607,955
5300,2384
439,1302
1605,1031
4457,3152
628,141
2819,260
5974,2114
1866,333
2100,2088
1624,507
2110,1617
4643,2692
5727,2858
5403,2087
5435,3730
3224,832
5001,339
1736,2150
2064,1952
4447,3634
134,112
3032,2490
2030,916
3685,1732
2016,153
710,2324
2199,2828
1820,185
2750,2946
1015,1212
5766,3565
2072,2208
5305,912
1998,300
1579,3591
3808,427
385,3793
2631,1919
5992,2961
3099,1206
430,339
3806,3694
770,2379
5837,1027
367,3099
2109,3039
3080,1783
4840,3100
4726,2581
2109,520
5482,1093
2330,1262
2764,2312
524,1050
2237,35
5746,2683
2419,468
1521,25
1731,1259
4607,1277
4478,2134
549,919
5531,2993
4001,3388
1695,1373
2683,2108
3539,3422
1693,594
777,1167
3804,1982
212,2518
3858,2140
2941,1211
2752,2474
3918,2707
3018,733
4007,3945
563,3658
5081,1265
921,2571
2190,2394
3705,2801
4048,2565
2304,1089
5367,479
1884,708
5361,318
5948,1198
4362,3253
5504,1882
4771,492
87,3633
2947,3752
3771,328
1842,3566
3812,1967
2907,1703
3859,227
4884,3633
2611,3524
1194,1834
2998,2792
4774,2916
3618,597
1884,1253
752,3720
3360,933
199,62
1418,694
6007,2746
5009,1269
5785,923
2158,593
5479,3361
4041,1885
977,3210
4907,3685
1511,1250
6009,1586
1514,2007
860,3908
406,551
1383,3846
157,3105
4227,2160
5795,1479
5580,2290
4318,933
970,1127
4625,3101
1749,1237
3755,1293
3768,543
3654,2280
3185,50
4086,529
5994,1527
5185,2137
130,524
2206,492
1613,1394
1320,1372
2470,2145
22,3037
6037,930
5420,938
5718,3408
566,1431
3507,2395
2820,3755
5896,34
3208,2420
2635,1965
1555,3270
869,802
1587,196
4391,2123
4467,909
4448,2644
623,1391
1434,934
1286,1093
5818,785
1690,3384
349,2006
4227,1564
4386,2002
3334,2700
2776,3591
4937,290
3167,2001
3701,1283
1837,2572
2030,2985
3900,1291
520,1909
4477,2622
3802,3793
5996,2279
5480,3210
1053,3175
4407,1863
1001,364
924,300
5319,2386
4514,1333
5501,920
1181,1394
2181,1682
4169,2469
4946,3114
2927,2248
5875,17
4335,2720
4883,2354
1034,3287
3688,3358
1741,1265
5271,58
2427,2599
1173,1747
3013,910
3562,2148
2206,337
1816,1275
338,2605
524,1215
4508,3744
3955,3824
1694,750
721,653
2996,1385
163,544
5367,1104
4802,3873
637,2872
148,2929
2243,1094
4972,1243
1824,1059
4378,785
1937,1885
4411,2188
5367,3593
4271,3296
268,3825
2761,1252
5103,356
386,2890
2700,799
3690,1120
5979,913
2116,3457
716,2268
3869,34
2183,3004
2899,3070
273,3793
1426,2248
5319,1580
2012,3256
3611,222
131,319
889,353
5111,2028
5765,260
5795,1082
1199,3252
931,1197
5220,3394
4732,1009
5661,1394
579,1356
117,2533
3965,2951
4213,3015
1832,3260
5890,3098
3255,2166
859,2791
4352,2986
3683,2302
1529,1615
518,1150
2977,3893
3410,3424
2181,1282
1383,2374
5395,750
3467,3809
1489,1225
187,3147
5733,733
2990,2859
1816,879
5520,3893
4995,296
1120,1022
5908,2005
1478,551
2907,2506
655,1095
4279,3766
3563,2144
3029,2116
1841,180
3133,3578
5872,260
303,647
4998,2959
3378,2987
3976,2926
3415,2000
1370,1344
302,1822
4902,3168
4741,296
4090,2947
1550,3006
529,3683
5966,345
3140,1441
33,1635
1381,296
3521,2717
550,2528
5018,1952
5838,1296
2196,2918
3882,22
2907,348
3297,3825
839,3526
4277,190
3945,2375
1926,3083
2063,2683
5090,943
4585,1077
1598,1779
4285,1033
4985,3593
1369,1985
438,741
3638,2701
5550,1580
3242,2763
2656,3178
4139,431
5397,849
4708,3359
5653,2388
3770,2390
526,1196
106,1059
1068,442
4044,1513
3486,2294
1812,342
5956,1527
5119,2352
3313,786
3906,1610
2529,2396
3652,2140
2436,2105
4533,1089
6040,2645
3082,1380
4418,3683
5097,1214
3841,2005
5108,2407
5205,196
1185,1266
4253,898
2684,708
4916,485
5743,919
1434,1992
1797,955
1998,928
3032,1028
3693,1276
5282,3555
555,3744
4287,20
2235,1581
2055,1586
4425,2504
5759,2369
155,2829
1951,1656
812,2712
1367,357
2552,1197
3705,3728
4425,307
